stem,bad,H,W,covIoU,cut,drift_top,drift_bot,arc_ratio,kmax_mid,kmax_env,p_top,p_bot,q_top,q_bot
001,0,480,240,0.8701298701298701,1,0.010416666666666666,0.11458333333333337,1.1306250320921332,3.716767992482125,4.198703016555282,True,False,False,False
002,0,480,240,0.9519832985386222,1,0.0125,0.03541666666666665,0.9489053971749819,1.0772710800527574,2.0457091909342133,True,True,False,False
003,0,480,240,0.9693654266958425,0,0.002083333333333333,0.027083333333333348,0.9598457190122236,3.3605250148912265,5.231248080874766,False,False,False,False
004,0,480,240,0.93446088794926,1,0.04583333333333334,0.018750000000000044,1.0227136216189971,5.026186591987244,6.1688651712281395,False,True,False,False
005,0,480,240,0.8948545861297539,0,0.010416666666666668,0.08750000000000002,1.0743047138256385,3.9028844518514902,4.142820864800922,False,False,False,False
006,0,480,240,0.7803738317757009,0,0.12708333333333335,0.06875000000000009,0.9181296171726122,0.9688505718037156,2.244672251368417,False,False,False,False
007,0,480,240,0.8810020876826722,1,0.0,0.11875000000000002,1.10994927831257,2.335044416365622,2.2910281486206574,True,False,True,True
008,0,480,240,0.9519832985386222,1,0.0125,0.03541666666666665,0.9471039066978979,1.6124426800894172,1.7648364746016754,True,True,False,False
009,0,480,240,0.9578947368421054,1,0.0041666666666666675,0.03749999999999998,0.9347393188764826,0.6178270395158447,1.2308173108176532,False,True,False,False
010,0,480,240,0.9556025369978858,1,0.008333333333333331,0.03541666666666665,0.9710431512948178,2.2602358670791074,2.8730837914043885,False,True,False,False
011,0,480,240,0.9430379746835443,1,0.020833333333333336,0.03541666666666665,0.9758328501201992,1.4041273879639848,1.8875607922860376,False,True,False,False
012,0,480,240,0.8747252747252746,0,0.0125,0.10625000000000007,1.1219322471071813,1.7852182071195632,2.9500354658383654,False,False,False,False
013,0,480,240,0.9195652173913043,1,0.01666666666666667,0.060416666666666674,0.952014349652614,1.6821212779966208,1.8722020115873201,False,True,False,False
014,0,480,240,0.9702127659574469,1,0.010416666666666666,0.018749999999999933,0.9660510846658024,1.4086450406559927,3.4932731473364913,True,False,False,False
015,0,480,240,0.9874739039665971,1,0.010416666666666666,0.002083333333333326,0.9813173361535327,4.47209851833263,5.354088317890506,True,True,False,False
016,0,480,240,0.8469827586206896,1,0.035416666666666666,0.11250000000000004,1.0916222309171264,2.422970201952966,3.3097762843929197,True,False,False,False
017,0,480,240,0.9452954048140042,1,0.00208333333333334,0.050000000000000044,0.9371256900359216,2.021906718470111,2.429994783973735,False,True,False,False
018,0,480,240,0.7455752212389382,1,0.16458333333333333,0.07499999999999996,0.7422413375440418,1.6681221845331007,1.876738632512385,True,False,False,False
019,0,480,240,0.9290187891440501,1,0.0375,0.033333333333333326,0.9240627568667685,0.7638621505160138,1.2778011011404453,True,True,False,False
020,0,480,240,0.8901098901098901,0,0.01875,0.0854166666666667,1.1147988322088012,0.7891685815563254,1.799524236316033,False,False,False,False
021,0,480,240,0.9262472885032537,1,0.05,0.02083333333333337,0.939566577811909,4.1086009704995785,5.888016382883915,True,False,False,False
022,0,480,240,0.9046610169491526,1,0.029166666666666664,0.06458333333333333,0.8988645981079951,1.1161093263870203,2.27566230373976,False,True,False,False
023,0,480,240,0.9519832985386222,1,0.010416666666666666,0.03749999999999998,0.9338458075234954,1.184509557651184,2.6088023570285834,True,True,False,False
024,0,480,240,0.9100418410041841,1,0.03333333333333333,0.05625000000000002,0.9049142350798575,1.7874005934536428,2.182396032232727,True,False,False,False
025,0,480,240,0.9721030042918455,1,0.027083333333333334,0.0,1.0333703942812,2.487580699763845,3.1294737944050586,False,True,False,True
026,0,480,240,0.8622129436325677,1,0.027083333333333334,0.11041666666666672,1.1591632711405013,3.712094629650976,3.775706692696946,False,False,True,True
027,0,480,240,0.9373695198329853,1,0.01875,0.043749999999999956,0.9438840882443973,2.7772069968071142,3.159053726341671,True,True,False,False
028,0,480,240,0.9539748953974896,1,0.010416666666666668,0.03541666666666665,0.9624823897661603,2.014354085479114,3.0575549492403304,False,True,False,False
029,0,480,240,0.8676789587852495,1,0.010416666666666666,0.1166666666666667,1.1063479273406305,0.39077727717443167,4.4169521396765505,True,False,False,False
030,0,480,240,0.9240780911062907,1,0.0125,0.060416666666666674,1.0366348677875117,1.198171886927173,2.444203981892851,True,False,False,False
031,0,480,240,0.7056367432150313,1,0.16458333333333333,0.12916666666666665,0.7099638761606942,0.5674200804137618,0.8133624387802184,True,True,False,False
032,0,480,240,0.9102296450939457,1,0.0125,0.07708333333333339,0.920463713042539,0.9405317897263068,1.6647743173128917,True,True,False,False
033,0,480,240,0.9519832985386222,1,0.0125,0.03541666666666665,0.9587538447447386,2.5876107871921823,3.4813638539226655,True,True,False,False
034,0,480,240,0.8611713665943601,1,0.010416666666666666,0.12291666666666667,1.0920700043896088,4.025329337247308,4.913056014197195,True,False,False,False
035,0,480,240,0.8382352941176471,1,0.12083333333333333,0.016666666666666607,0.8210370309250432,1.353398473774579,2.1648064132688316,True,False,False,False
036,0,480,240,0.9686847599164927,1,0.0,0.03125,0.9670870499144397,2.4063786623838466,3.108580828049283,True,True,True,False
037,0,480,240,0.8663883089770356,1,0.06458333333333334,0.06874999999999998,0.8851899584302281,3.0177875845032753,4.0036100415752305,True,True,False,False
038,0,480,240,0.9519832985386222,1,0.0125,0.03541666666666665,0.9151403158692826,2.004291515581163,4.206326464379719,True,True,False,False
039,0,480,240,0.9770354906054279,1,0.00625,0.01666666666666672,0.982682768070025,2.2638236977429576,2.6384439128839863,True,True,False,False
040,0,480,240,0.9319148936170212,0,0.035416666666666666,0.03125,0.9231020584510984,2.936440835056603,3.0933512801190517,False,False,False,False
041,0,480,240,0.9452631578947368,1,0.00625,0.04791666666666672,0.9568368047309381,2.831011225362762,2.8338274423157057,False,True,False,False
042,0,480,240,0.9624217118997911,1,0.016666666666666666,0.02083333333333337,0.9711736101386801,2.678000086018725,2.9327536548045394,True,True,False,False
043,0,480,240,0.8935281837160752,1,0.035416666666666666,0.0708333333333333,0.8884925490781501,2.4863132144564166,2.4854130434049244,True,True,False,False
044,0,480,240,0.9498956158663884,1,0.0125,0.03749999999999998,0.9368658460040326,1.99911706878918,2.2094201724074143,True,True,False,False
045,0,480,240,0.8425720620842572,0,0.027083333333333338,0.12083333333333335,1.1081897491567703,2.496214991997796,2.5403447772212413,False,False,False,False
046,0,480,240,0.8421052631578946,0,0.04166666666666667,0.10833333333333339,1.179609739111833,0.676399499064349,2.7465356816154354,False,False,False,False
047,0,480,240,0.878524945770065,1,0.0125,0.10416666666666674,1.1158150821058013,1.9355404890172894,1.9407248105398138,True,False,False,False
048,0,480,240,0.9360341151385929,1,0.022916666666666665,0.039583333333333304,0.9834309024908424,2.408696447452567,2.9986979362434556,False,True,False,False
049,0,480,240,0.9311064718162839,1,0.008333333333333333,0.060416666666666674,0.9351070641717504,2.726592938504599,3.0681956673158046,True,True,False,False
050,0,480,240,0.8878923766816145,0,0.014583333333333334,0.08958333333333324,1.0897054893917217,3.0586690873892954,3.3403072781584062,False,False,False,False
051,0,480,240,0.9567099567099567,1,0.010416666666666666,0.03125,0.9768902293070297,3.3787151613758026,4.943728079653971,True,False,False,False
052,0,480,240,0.9498956158663884,1,0.0125,0.03749999999999998,0.9416050647736377,0.9683009393967037,1.3029846283120199,True,True,False,False
053,0,480,240,0.9791231732776617,1,0.0,0.02083333333333337,0.9750159710753538,1.2767208966147663,1.5438395777624243,True,True,True,False
054,0,480,240,0.9142259414225942,1,0.05,0.03541666666666665,0.990371915474239,1.4494906874490325,3.7111398100118316,False,True,False,False
055,0,480,240,0.8830022075055187,0,0.006249999999999999,0.10416666666666674,1.1092654847859493,2.573666883206628,2.643977880565195,False,False,False,False
056,0,480,240,0.8898678414096917,0,0.05416666666666667,0.050000000000000044,1.177926566216028,5.459912569727499,7.146786802074071,False,False,False,False
057,0,480,240,0.954070981210856,1,0.010416666666666666,0.03541666666666665,0.9808802495042154,2.9524648518881222,4.159546605123822,True,True,False,False
058,0,480,240,0.8774193548387098,1,0.014583333333333334,0.10416666666666663,1.1093595675565138,1.3112120754388923,1.4124699520592867,True,False,False,False
059,0,480,240,0.9874739039665971,1,0.0125,0.0,0.9672304652817522,3.111264006653197,3.735419114605248,True,True,False,True
060,0,480,240,0.9725738396624473,1,0.0020833333333333346,0.025000000000000022,0.9661004016612635,1.5847325095413212,2.169090789750471,False,True,False,False
061,0,480,240,0.9173728813559322,1,0.04375,0.03749999999999998,0.9928210149168069,0.7510298920737521,1.6157561329651484,False,True,False,False
062,0,480,240,0.8868778280542987,1,0.035416666666666666,0.06874999999999998,1.0466137633087231,2.8834836397148993,3.237019085376256,True,False,False,False
063,0,480,240,0.989561586638831,1,0.010416666666666666,0.0,0.9623767938207105,1.7712272115064405,2.0155868092417726,True,True,False,True
064,0,480,240,0.9328703703703703,1,0.010416666666666666,0.050000000000000044,0.9763656858317015,3.556544910349158,5.475553306744038,True,False,False,False
065,0,480,240,0.8977035490605428,1,0.041666666666666664,0.060416666666666674,0.8982514272760765,0.8428529963956701,1.4100020245783271,True,True,False,False
066,0,480,240,0.9032258064516129,1,0.05,0.03749999999999998,0.9833651180603319,0.7495077868013927,1.5567128758397386,True,False,False,False
067,0,480,240,0.8893528183716076,1,0.04583333333333333,0.06458333333333333,0.8826948802955973,1.8226942202526992,2.2086074822921864,True,True,False,False
068,0,480,240,0.9534883720930232,1,0.008333333333333331,0.03749999999999998,0.9726166143477131,1.513678539307901,2.1317438850560566,False,True,False,False
069,0,480,240,0.8758169934640523,1,0.03125,0.08750000000000002,1.0642123224871745,2.2339845384522765,2.6103064775493277,True,False,False,False
070,0,480,240,0.8872017353579176,1,0.0125,0.09583333333333333,1.0867216719165536,1.2209995753825043,1.7694510588453591,True,False,False,False
071,0,480,240,0.9498956158663884,1,0.0125,0.03749999999999998,0.9494012730329123,0.9014374259136387,1.1797688362555692,True,True,False,False
072,0,480,240,0.8214285714285714,1,0.02708333333333332,0.1395833333333334,0.8071118830469105,2.4179100943669365,2.796497689860827,False,True,False,False
073,0,480,240,0.9558823529411764,1,0.014583333333333332,0.029166666666666674,0.9853517436336656,3.5979957024321414,3.709491079348052,False,True,False,False
074,0,480,240,0.9570815450643777,1,0.03958333333333333,0.002083333333333326,0.9611826565518032,2.6095979583940663,2.7433104647448183,True,False,False,False
075,0,480,240,0.9770354906054279,1,0.01875,0.004166666666666652,0.964636083755518,1.3622873057293787,1.6106880114470241,True,True,False,False
076,0,480,240,0.8640350877192984,1,0.03958333333333333,0.08958333333333324,1.0835653218079755,2.596483632471319,3.037661336003882,True,False,False,False
077,0,480,240,0.8727272727272726,0,0.004166666666666673,0.11250000000000004,1.1172016192073237,0.9818914261815428,1.9795014391719885,False,False,False,False
078,0,480,240,0.91415313225058,0,0.0,0.07708333333333339,1.096364093233952,2.777395547719905,3.1920636996369858,False,False,False,False
079,0,480,240,0.9519832985386222,1,0.010416666666666666,0.03749999999999998,0.9460854369039565,1.0918195260996646,1.992668441165077,True,True,False,False
080,0,480,240,0.9012345679012346,0,0.024999999999999994,0.05833333333333335,1.1068390926448988,5.262146002039726,6.054501248038876,False,False,False,False
081,0,480,240,0.8893905191873588,1,0.08541666666666667,0.01666666666666672,0.894452752594776,3.0823149341621985,4.494340480594606,True,False,False,False
082,0,480,240,0.9394572025052192,1,0.020833333333333332,0.039583333333333304,0.9348400332888291,1.8416484430114555,1.9536146471968014,True,True,False,False
083,0,480,240,0.9339622641509434,0,0.00208333333333334,0.05625000000000002,0.9612006762467508,1.5911444057467459,2.804688368101448,False,False,False,False
084,0,480,240,0.9686847599164927,1,0.01875,0.012499999999999956,0.974596516556919,2.5534521623399273,3.7270764341575964,True,True,False,False
085,0,480,240,0.8504273504273505,1,0.0,0.14583333333333326,1.1214407376801174,4.4702331855162765,4.6295205006152,True,False,True,False
086,0,480,240,0.9164926931106472,1,0.04791666666666667,0.03541666666666665,0.9308760837734269,0.272261572077688,0.9565930077918967,True,True,False,False
087,0,480,240,1.0,1,0.0,0.0,0.9893454673834418,1.691550144230577,2.187754763365996,False,True,False,True
088,0,480,240,0.9645093945720251,1,0.0,0.03541666666666665,0.9631752178996675,1.6200687996573775,1.7617605979997564,True,True,True,False
089,0,480,240,1.0,1,0.0,0.0,1.037853522927029,1.1815797089533377,2.145712564440309,True,True,True,True
090,0,480,240,0.9222689075630252,1,0.04166666666666667,0.03541666666666665,0.9124969883231817,1.1182494279049031,2.0949680735048513,False,True,False,False
091,0,480,240,0.896629213483146,1,0.022916666666666665,0.07291666666666674,1.083259507598921,3.07437966579299,3.944139466585982,True,False,False,False
092,0,480,240,0.9221052631578947,0,0.04166666666666667,0.03541666666666665,0.904026565302563,1.4720654289324528,2.952871731026519,False,False,False,False
093,0,480,240,0.868131868131868,0,0.006249999999999999,0.11875000000000002,1.1110491891656844,2.658218820171567,4.088354663175961,False,False,False,False
094,0,480,240,0.9853862212943633,1,0.008333333333333333,0.006249999999999978,0.96140585492858,3.006208942565552,4.162948363164733,True,True,False,False
095,0,480,240,0.9686192468619247,1,0.022916666666666665,0.008333333333333304,0.9539757166058936,2.109996132984047,2.2128380498125857,True,False,False,False
096,0,480,240,0.9453302961275625,0,0.043750000000000004,0.006250000000000089,1.082481519459314,5.093778274717218,5.2304458034576635,False,False,False,False
097,0,480,240,0.9561586638830898,1,0.00625,0.03749999999999998,0.9347198433460541,2.193740110464436,3.02194511845583,True,True,False,False
098,0,480,240,0.9624217118997911,1,0.022916666666666665,0.014583333333333393,0.9541384784499609,1.8466326410860447,1.8580150415509533,True,True,False,False
099,0,480,240,0.9624217118997912,1,0.014583333333333334,0.022916666666666696,0.9860840888244217,0.8988853084773856,1.277961581269361,False,True,True,False
100,0,480,240,0.9728601252609603,1,0.004166666666666667,0.022916666666666696,0.9526345547536202,2.832601442165064,3.3308605275362475,True,True,False,False
101,0,480,240,1.0,1,0.0,0.0,0.9856211063140705,1.3541651458435862,1.8219324248770081,True,True,True,True
102,0,480,240,0.847682119205298,0,0.037500000000000006,0.10625000000000007,1.0880415714695029,0.7002157150488976,2.4409171988541845,False,False,False,False
103,0,480,240,0.9352818371607515,1,0.020833333333333332,0.043749999999999956,0.9607754116508828,3.1828235995015857,4.057689020647745,True,True,False,False
